30,16,64
f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RT,0,0,f
f,0,RT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,eR,0,0,0,0,0,f
f,0,0,0,eR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,f,f,f,f,f,f,f,f,f
f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0,0,0,0,0,f,0,0,0,0,0,0,0,0,f
f,0,0,0,0,0,0,0,f,sU,0,0,0,0,0,0,0,0,sU,f,0,0,0,0,0,0,0,0,0,f
f,0,0,0,0,0,0,0,0,f,0,0,0,0,RDU,0,0,0,f,0,0,0,0,0,0,0,0,0,0,f
f,0,0,0,0,0,0,0,0,0,f,0,0,S,RDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
f,0,0,0,0,0,0,0,0,0,0,f,f,f,f,f,f,0,0,0,0,0,0,0,0,0,0,0,0,f
f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,0,0,0,0,0,0,0,0,0,0,0,f
f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,0,0,0,0,0,0,0,0,0,0,f
f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,0,0,0,0,0,0,0,0,0,f
f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,0,0,0,0,0,0,0,0,f
f,0,0,0,eR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,eR,0,0,0,0,0,f
f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
